,Boys,Girls,Total
Kindergarten,45,47,92
Year 1,58,35,93
Year 2,56,51,107
Year 3,60,45,105
Year 4,62,44,106
Year 5,66,65,131
Year 6,75,43,118
Primary Support,4,1,5
Total Primary,426,331,757
Year 7,54,50,104
Year 8,98,91,189
Year 9,205,188,393
Year 10,279,295,574
Year 11,124.4,153.3,277.7
Year 12,88.7,109.3,198
Secondary Support,21,19,40
Total Secondary,870.1,905.6,1775.7
Total all students,1296.1,1236.6,2532.7
